# Fichier temporaire pour corriger tous les returns de func.go
# Format: numéro de ligne|commentaire à ajouter

84|// Retourne true si le fichier est un fichier de test
87|// Retourne false si le fichier n'est pas un fichier de test
128|// Retourne immédiatement car pas de paramètres à vérifier
189|// Retourne immédiatement car la fonction n'a pas de body
218|// Retourne le maximum entre la profondeur actuelle et la nouvelle profondeur
221|// Retourne le maximum entre la profondeur actuelle et la nouvelle profondeur
224|// Retourne le maximum entre la profondeur actuelle et la nouvelle profondeur
227|// Retourne le maximum entre la profondeur actuelle et la nouvelle profondeur
230|// Retourne le maximum entre la profondeur actuelle et la nouvelle profondeur
232|// Retourne la profondeur maximale trouvée dans le body
235|// Retourne la profondeur maximale calculée
250|// Retourne la nouvelle profondeur si elle est supérieure
252|// Retourne la profondeur actuelle sinon
270|// Retourne immédiatement si le format est correct
290|// Retourne immédiatement si pas de params ni returns
386|// Retourne le contenu de la section extraite
402|// Retourne l'exemple formaté de section Params
418|// Retourne l'exemple formaté de section Returns
438|// Retourne le nombre total de paramètres comptés
457|// Retourne la liste des noms de paramètres extraits
471|// Retourne 0 car pas de body à mesurer
480|// Retourne true pour continuer l'inspection
493|// Retourne true pour continuer l'inspection
496|// Retourne le nombre de lignes contenant du code
509|// Retourne 1 car pas de body (fonction sans implémentation)
515|// Retourne la complexité calculée
518|// Retourne la complexité totale calculée
531|// Retourne 1 pour un if statement
533|// Retourne 1 pour un for ou range statement
536|// Retourne 1 si le case a une liste
540|// Retourne 1 si le comm clause a une comm
544|// Retourne 1 pour un opérateur logique
547|// Retourne 0 pour les autres nœuds
560|// Retourne immédiatement car pas de body
568|// Retourne immédiatement car la complexité est acceptable
595|// Retourne immédiatement car pas de body
603|// Retourne immédiatement si pas de return statements
638|// Retourne le nombre de commentaires internes comptés
655|// Retourne true pour continuer l'inspection
658|// Retourne tous les returns trouvés
674|// Retourne true car des commentaires sont associés au return
680|// Retourne true si un commentaire est sur la ligne précédente
683|// Retourne false car aucun commentaire n'a été trouvé avant le return
700|// Retourne true car un commentaire se termine sur la ligne précédente
704|// Retourne false car aucun commentaire sur la ligne précédente
